"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 14:06:18,FALSE,NA,"968125069191819266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mmaarriee_",2929,TRUE,FALSE,NA,NA
"2","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 14:06:06,FALSE,NA,"968125020215136257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BvbyLit",2929,TRUE,FALSE,NA,NA
"3","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 14:05:24,FALSE,NA,"968124846558339072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","M_Will12",2929,TRUE,FALSE,NA,NA
"4","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 14:05:12,FALSE,NA,"968124792888012805",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LifeAsTay__",2929,TRUE,FALSE,NA,NA
"5","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 14:05:06,FALSE,NA,"968124767214755840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elongatedbeauty",2929,TRUE,FALSE,NA,NA
"6","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 14:04:59,FALSE,NA,"968124738643120130",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dbg_John",2929,TRUE,FALSE,NA,NA
"7","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 14:04:48,FALSE,NA,"968124694032510976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xxkaeexx",2929,TRUE,FALSE,NA,NA
"8","Archive Thread: All-Star Weekend NBA Livestream - https://t.co/3UvPUlbTvy",FALSE,0,NA,2018-02-26 14:04:30,FALSE,NA,"968124617431789568",NA,"<a href=""http://watchsoccergames.live"" rel=""nofollow"">AUTO POSTER FOR WATCHSOCCERGAMES</a>","watchsports_hd",0,FALSE,FALSE,NA,NA
"9","Watch N.E.R.D. Team With Migos for the 2018 NBA All-Star Game Halftime Show https://t.co/Jh5cbETwlH… https://t.co/DOVsgUP8y7",FALSE,0,NA,2018-02-26 14:04:25,TRUE,NA,"968124597974511617",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","marvinmusic",0,FALSE,FALSE,NA,NA
"10","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 14:04:23,FALSE,NA,"968124589128773632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThatBrooksGirl",2929,TRUE,FALSE,NA,NA
